 10001 -22.10 -65.60     .0
 10008 -37.72 -59.78   95.2
 10011 -24.70 -60.58     .0
 10012 -24.85 -65.48     .0
 10013 -37.23 -57.02   95.2
 10017 -26.85 -65.10   26.0
 10031 -29.23 -67.43     .0
 10044 -28.60 -65.77     .0
 10062 -27.77 -64.30     .0
 10075 -29.22 -58.10   76.2
 10077 -29.38 -66.82     .0
 10081 -29.88 -61.95     .0
 10082 -29.90 -63.68     .0
 10086 -30.23 -68.75     .0
 10087 -30.27 -57.65   87.8
 10100 -31.32 -64.22     .0
 10102 -31.33 -66.60     .0
 10105 -31.40 -64.18     .0
 10111 -31.67 -63.88     .0
 10113 -31.78 -60.48   44.9
 10117 -31.95 -65.13     .0
 10131 -32.83 -68.78     .0
 10132 -32.88 -68.85     .0
 10133 -32.92 -60.78   23.8
 10134 -33.00 -58.62   82.4
 10138 -33.12 -64.23     .0
 10139 -33.27 -66.35     .0
 10148 -34.13 -63.37   23.0
 10156 -34.58 -58.48   87.6
 10159 -34.60 -58.60   67.3
 10163 -38.95 -67.97     .0
 10166 -34.82 -58.53   61.0
 10170 -34.97 -57.90   70.8
 10177 -35.37 -57.28   92.1
 10178 -35.45 -60.88   53.3
 10179 -35.50 -69.58     .0
 10185 -35.97 -62.73   63.7
 10186 -36.03 -59.13   93.2
 10188 -36.22 -65.43     .0
 10190 -36.35 -57.73   92.3
 10192 -36.57 -64.27   35.8
 10204 -37.43 -61.88   93.4
 10206 -37.60 -62.38   93.4
 10210 -37.93 -57.58   96.7
 10221 -38.73 -62.17   94.9
 10227 -38.95 -68.13     .0
 10229 -39.02 -64.08   92.1
 10241 -40.78 -65.10   64.7
 10248 -41.25 -68.73   42.8
 10258 -43.20 -65.27   35.2
 10270 -45.78 -67.50   95.4
 10272 -46.52 -71.02     .0
 10280 -47.73 -65.92   92.8
 10283 -48.78 -70.17     .0
 10285 -49.32 -67.78   25.6
 10289 -50.02 -68.57   11.4
 10293 -51.62 -69.28   41.7
 10296 -53.80 -67.75   54.1
 10298 -54.80 -68.32   99.0
 10303 -42.93 -71.15   95.7
 10307 -43.82 -68.88   88.7
 10308 -32.60 -69.33     .0
 10309 -29.18 -59.70   32.3
 10311 -37.23 -59.25   94.9
 10323 -41.15 -71.17   94.5
 10325 -34.58 -68.40     .0
 10326 -22.65 -63.82     .0
 10332 -34.57 -58.42   79.5
 10334 -35.70 -63.75   39.2
 10335 -33.73 -65.38     .0
 10339 -23.15 -64.32     .0
 10346 -29.68 -57.15   77.0
 10353 -25.73 -54.47   70.8
 10362 -27.37 -55.97   68.5
 10369 -32.70 -62.15   11.5
 10370 -33.08 -68.42     .0
 10451 -31.70 -60.82   18.7
 10453 -34.55 -60.92   17.6
 10456 -35.87 -61.90   80.7
 10470 -27.45 -58.77   18.4
 10476 -30.37 -66.28     .0
 10477 -31.30 -58.02   73.3
 10483 -26.20 -58.23   11.7
 10489 -27.45 -59.05   27.7
 10490 -38.33 -60.25   95.5
 10495 -31.57 -68.42     .0
 10500 -24.38 -65.08     .0
 10501 -40.85 -63.02   11.0
 10522 -27.58 -56.67   68.0
 10523 -26.25 -53.65   77.1
 10525 -40.08 -71.13   93.1
 10531 -36.88 -60.22   66.5
 10543 -24.17 -65.18     .0
 10544 -36.20 -61.07   88.9
 10551 -33.67 -61.97   34.8
 10553 -34.45 -58.58   93.2
 10556 -27.48 -55.13   66.4
 10564 -32.20 -61.67     .0
 10566 -42.73 -65.07   65.2
 10567 -41.97 -71.52   93.8
 11201 -38.02 -61.33   89.9
 17364 -25.48 -64.80     .0
 17375 -36.83 -59.88   84.7
 17970 -26.75 -60.40   10.3
 18017 -50.27 -72.05    2.1
 18030 -32.67 -65.32     .0
 18250 -30.97 -61.33   10.5
